Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-02-18,Sun,2:32 AM,6.3,192,H
2018-02-18,Sun,8:31 AM,1.57,48,L
2018-02-18,Sun,2:14 PM,6.47,197,H
2018-02-18,Sun,8:48 PM,0.3,9,L
2018-02-19,Mon,3:04 AM,6.41,195,H
2018-02-19,Mon,9:12 AM,1.41,43,L
2018-02-19,Mon,2:57 PM,6.13,187,H
2018-02-19,Mon,9:21 PM,0.69,21,L
2018-02-20,Tue,3:37 AM,6.5,198,H
2018-02-20,Tue,9:59 AM,1.27,39,L
2018-02-20,Tue,3:46 PM,5.71,174,H
2018-02-20,Tue,9:57 PM,1.16,35,L
2018-02-21,Wed,4:14 AM,6.56,200,H
2018-02-21,Wed,10:52 AM,1.15,35,L
2018-02-21,Wed,4:44 PM,5.26,160,H
2018-02-21,Wed,10:39 PM,1.67,51,L
2018-02-22,Thu,4:58 AM,6.6,201,H
2018-02-22,Thu,11:55 AM,1.02,31,L
2018-02-22,Thu,5:56 PM,4.88,149,H
2018-02-22,Thu,11:31 PM,2.19,67,L
2018-02-23,Fri,5:51 AM,6.62,202,H
2018-02-23,Fri,1:06 PM,0.81,25,L
2018-02-23,Fri,7:21 PM,4.71,144,H
2018-02-24,Sat,12:38 AM,2.6,79,L
2018-02-24,Sat,6:54 AM,6.67,203,H
2018-02-24,Sat,2:19 PM,0.48,15,L
2018-02-24,Sat,8:47 PM,4.86,148,H
2018-02-25,Sun,1:59 AM,2.78,85,L
2018-02-25,Sun,8:04 AM,6.8,207,H
2018-02-25,Sun,3:27 PM,0.07,2,L
2018-02-25,Sun,9:59 PM,5.22,159,H
2018-02-26,Mon,3:17 AM,2.67,81,L
2018-02-26,Mon,9:12 AM,7.03,214,H
2018-02-26,Mon,4:27 PM,-0.35,-11,L
2018-02-26,Mon,10:56 PM,5.67,173,H
2018-02-27,Tue,4:24 AM,2.32,71,L
2018-02-27,Tue,10:15 AM,7.28,222,H
2018-02-27,Tue,5:19 PM,-0.69,-21,L
