Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-04-16,Mon,2:35 PM,8.21,250,H
2018-04-16,Mon,8:28 PM,1.21,37,L
2018-04-17,Tue,2:27 AM,9.27,283,H
2018-04-17,Tue,9:10 AM,-0.42,-13,L
2018-04-17,Tue,3:22 PM,8.12,247,H
2018-04-17,Tue,9:06 PM,1.55,47,L
2018-04-18,Wed,3:01 AM,9.46,288,H
2018-04-18,Wed,9:52 AM,-0.61,-19,L
2018-04-18,Wed,4:11 PM,7.93,242,H
2018-04-18,Wed,9:46 PM,1.96,60,L
2018-04-19,Thu,3:39 AM,9.51,290,H
2018-04-19,Thu,10:37 AM,-0.6,-18,L
2018-04-19,Thu,5:04 PM,7.65,233,H
2018-04-19,Thu,10:30 PM,2.4,73,L
2018-04-20,Fri,4:22 AM,9.36,285,H
2018-04-20,Fri,11:27 AM,-0.4,-12,L
2018-04-20,Fri,6:03 PM,7.36,224,H
2018-04-20,Fri,11:22 PM,2.84,87,L
2018-04-21,Sat,5:12 AM,9,274,H
2018-04-21,Sat,12:26 PM,-0.08,-2,L
2018-04-21,Sat,7:07 PM,7.17,219,H
2018-04-22,Sun,12:25 AM,3.19,97,L
2018-04-22,Sun,6:14 AM,8.5,259,H
2018-04-22,Sun,1:34 PM,0.22,7,L
2018-04-22,Sun,8:16 PM,7.18,219,H
2018-04-23,Mon,1:43 AM,3.28,100,L
2018-04-23,Mon,7:30 AM,8.02,244,H
2018-04-23,Mon,2:46 PM,0.37,11,L
2018-04-23,Mon,9:22 PM,7.44,227,H
2018-04-24,Tue,3:04 AM,2.96,90,L
2018-04-24,Tue,8:52 AM,7.78,237,H
2018-04-24,Tue,3:52 PM,0.37,11,L
2018-04-24,Tue,10:22 PM,7.88,240,H
2018-04-25,Wed,4:16 AM,2.29,70,L
2018-04-25,Wed,10:08 AM,7.79,237,H
2018-04-25,Wed,4:49 PM,0.32,10,L
2018-04-25,Wed,11:13 PM,8.38,255,H
2018-04-26,Thu,5:18 AM,1.48,45,L
2018-04-26,Thu,11:15 AM,7.95,242,H
2018-04-26,Thu,5:40 PM,0.35,11,L
2018-04-26,Thu,11:57 PM,8.81,269,H
2018-04-27,Fri,6:13 AM,0.72,22,L
2018-04-27,Fri,12:13 PM,8.11,247,H
2018-04-27,Fri,6:25 PM,0.52,16,L
2018-04-28,Sat,12:38 AM,9.12,278,H
2018-04-28,Sat,7:02 AM,0.11,3,L
2018-04-28,Sat,1:05 PM,8.17,249,H
2018-04-28,Sat,7:07 PM,0.81,25,L
2018-04-29,Sun,1:15 AM,9.27,283,H
2018-04-29,Sun,7:47 AM,-0.29,-9,L
2018-04-29,Sun,1:54 PM,8.14,248,H
2018-04-29,Sun,7:47 PM,1.21,37,L
2018-04-30,Mon,1:50 AM,9.28,283,H
2018-04-30,Mon,8:29 AM,-0.5,-15,L
2018-04-30,Mon,2:40 PM,8.02,244,H
2018-04-30,Mon,8:26 PM,1.66,51,L
2018-05-01,Tue,2:22 AM,9.18,280,H
2018-05-01,Tue,9:09 AM,-0.52,-16,L
2018-05-01,Tue,3:26 PM,7.84,239,H
2018-05-01,Tue,9:03 PM,2.11,64,L
2018-05-02,Wed,2:54 AM,9.01,275,H
2018-05-02,Wed,9:47 AM,-0.39,-12,L
2018-05-02,Wed,4:10 PM,7.62,232,H
2018-05-02,Wed,9:39 PM,2.54,77,L
2018-05-03,Thu,3:25 AM,8.77,267,H
2018-05-03,Thu,10:24 AM,-0.14,-4,L
2018-05-03,Thu,4:56 PM,7.36,224,H
2018-05-03,Thu,10:17 PM,2.93,89,L
2018-05-04,Fri,3:58 AM,8.48,258,H
2018-05-04,Fri,11:00 AM,0.18,5,L
2018-05-04,Fri,5:42 PM,7.11,217,H
2018-05-04,Fri,10:57 PM,3.28,100,L
2018-05-05,Sat,4:34 AM,8.12,247,H
2018-05-05,Sat,11:40 AM,0.54,16,L
2018-05-05,Sat,6:33 PM,6.89,210,H
2018-05-05,Sat,11:44 PM,3.56,109,L
2018-05-06,Sun,5:17 AM,7.69,234,H
2018-05-06,Sun,12:27 PM,0.89,27,L
2018-05-06,Sun,7:27 PM,6.76,206,H
2018-05-07,Mon,12:43 AM,3.71,113,L
2018-05-07,Mon,6:11 AM,7.22,220,H
2018-05-07,Mon,1:23 PM,1.17,36,L
2018-05-07,Mon,8:24 PM,6.8,207,H
2018-05-08,Tue,1:54 AM,3.65,111,L
2018-05-08,Tue,7:21 AM,6.83,208,H
2018-05-08,Tue,2:24 PM,1.32,40,L
2018-05-08,Tue,9:19 PM,7.01,214,H
2018-05-09,Wed,3:06 AM,3.27,100,L
2018-05-09,Wed,8:39 AM,6.66,203,H
2018-05-09,Wed,3:24 PM,1.34,41,L
2018-05-09,Wed,10:08 PM,7.35,224,H
2018-05-10,Thu,4:09 AM,2.63,80,L
2018-05-10,Thu,9:52 AM,6.74,205,H
2018-05-10,Thu,4:17 PM,1.3,40,L
2018-05-10,Thu,10:50 PM,7.78,237,H
2018-05-11,Fri,5:04 AM,1.86,57,L
2018-05-11,Fri,10:56 AM,6.99,213,H
2018-05-11,Fri,5:05 PM,1.29,39,L
2018-05-11,Fri,11:28 PM,8.23,251,H
2018-05-12,Sat,5:53 AM,1.07,33,L
2018-05-12,Sat,11:53 AM,7.3,223,H
2018-05-12,Sat,5:49 PM,1.36,41,L
2018-05-13,Sun,12:04 AM,8.67,264,H
