Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/04/18	Wed	04:11 PM	7.93		242			H
2018/04/18	Wed	09:46 PM	1.96		60			L
2018/04/19	Thu	03:39 AM	9.51		290			H
2018/04/19	Thu	10:37 AM	-0.60		-18			L
2018/04/19	Thu	05:04 PM	7.65		233			H
2018/04/19	Thu	10:30 PM	2.40		73			L
2018/04/20	Fri	04:22 AM	9.36		285			H
2018/04/20	Fri	11:27 AM	-0.40		-12			L
2018/04/20	Fri	06:03 PM	7.36		224			H
2018/04/20	Fri	11:22 PM	2.84		87			L
2018/04/21	Sat	05:12 AM	9.00		274			H
2018/04/21	Sat	12:26 PM	-0.08		-2			L
2018/04/21	Sat	07:07 PM	7.17		219			H
2018/04/22	Sun	12:25 AM	3.19		97			L
2018/04/22	Sun	06:14 AM	8.50		259			H
2018/04/22	Sun	01:34 PM	0.22		7			L
2018/04/22	Sun	08:16 PM	7.18		219			H
2018/04/23	Mon	01:43 AM	3.28		100			L
2018/04/23	Mon	07:30 AM	8.02		244			H
2018/04/23	Mon	02:46 PM	0.37		11			L
2018/04/23	Mon	09:22 PM	7.44		227			H
2018/04/24	Tue	03:04 AM	2.96		90			L
2018/04/24	Tue	08:52 AM	7.78		237			H
2018/04/24	Tue	03:52 PM	0.37		11			L
2018/04/24	Tue	10:22 PM	7.88		240			H
2018/04/25	Wed	04:16 AM	2.29		70			L
2018/04/25	Wed	10:08 AM	7.79		237			H
2018/04/25	Wed	04:49 PM	0.32		10			L
2018/04/25	Wed	11:13 PM	8.38		255			H
2018/04/26	Thu	05:18 AM	1.48		45			L
2018/04/26	Thu	11:15 AM	7.95		242			H
2018/04/26	Thu	05:40 PM	0.35		11			L
2018/04/26	Thu	11:57 PM	8.81		269			H
2018/04/27	Fri	06:13 AM	0.72		22			L
2018/04/27	Fri	12:13 PM	8.11		247			H
2018/04/27	Fri	06:25 PM	0.52		16			L
2018/04/28	Sat	12:38 AM	9.12		278			H
2018/04/28	Sat	07:02 AM	0.11		3			L
2018/04/28	Sat	01:05 PM	8.17		249			H
2018/04/28	Sat	07:07 PM	0.81		25			L
2018/04/29	Sun	01:15 AM	9.27		283			H
2018/04/29	Sun	07:47 AM	-0.29		-9			L
2018/04/29	Sun	01:54 PM	8.14		248			H
2018/04/29	Sun	07:47 PM	1.21		37			L
2018/04/30	Mon	01:50 AM	9.28		283			H
2018/04/30	Mon	08:29 AM	-0.50		-15			L
2018/04/30	Mon	02:40 PM	8.02		244			H
2018/04/30	Mon	08:26 PM	1.66		51			L
2018/05/01	Tue	02:22 AM	9.18		280			H
2018/05/01	Tue	09:09 AM	-0.52		-16			L
2018/05/01	Tue	03:26 PM	7.84		239			H
2018/05/01	Tue	09:03 PM	2.11		64			L
2018/05/02	Wed	02:54 AM	9.01		275			H
2018/05/02	Wed	09:47 AM	-0.39		-12			L
2018/05/02	Wed	04:10 PM	7.62		232			H
2018/05/02	Wed	09:39 PM	2.54		77			L
2018/05/03	Thu	03:25 AM	8.77		267			H
2018/05/03	Thu	10:24 AM	-0.14		-4			L
2018/05/03	Thu	04:56 PM	7.36		224			H
2018/05/03	Thu	10:17 PM	2.93		89			L
2018/05/04	Fri	03:58 AM	8.48		258			H
2018/05/04	Fri	11:00 AM	0.18		5			L
2018/05/04	Fri	05:42 PM	7.11		217			H
2018/05/04	Fri	10:57 PM	3.28		100			L
2018/05/05	Sat	04:34 AM	8.12		247			H
