Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/04/20	Fri	11:15 AM	-0.62		-19			L
2018/04/20	Fri	05:44 PM	5.42		165			H
2018/04/20	Fri	11:11 PM	2.31		70			L
2018/04/21	Sat	05:00 AM	6.58		201			H
2018/04/21	Sat	12:13 PM	-0.40		-12			L
2018/04/21	Sat	06:52 PM	5.25		160			H
2018/04/22	Sun	12:17 AM	2.56		78			L
2018/04/22	Sun	06:02 AM	6.20		189			H
2018/04/22	Sun	01:19 PM	-0.16		-5			L
2018/04/22	Sun	08:03 PM	5.26		160			H
2018/04/23	Mon	01:37 AM	2.60		79			L
2018/04/23	Mon	07:17 AM	5.85		178			H
2018/04/23	Mon	02:28 PM	0.02		1			L
2018/04/23	Mon	09:12 PM	5.45		166			H
2018/04/24	Tue	03:01 AM	2.33		71			L
2018/04/24	Tue	08:38 AM	5.67		173			H
2018/04/24	Tue	03:35 PM	0.13		4			L
2018/04/24	Tue	10:10 PM	5.77		176			H
2018/04/25	Wed	04:15 AM	1.81		55			L
2018/04/25	Wed	09:54 AM	5.66		173			H
2018/04/25	Wed	04:34 PM	0.21		6			L
2018/04/25	Wed	10:59 PM	6.13		187			H
2018/04/26	Thu	05:16 AM	1.18		36			L
2018/04/26	Thu	11:01 AM	5.76		176			H
2018/04/26	Thu	05:27 PM	0.32		10			L
2018/04/26	Thu	11:42 PM	6.47		197			H
2018/04/27	Fri	06:07 AM	0.56		17			L
2018/04/27	Fri	12:00 PM	5.88		179			H
2018/04/27	Fri	06:13 PM	0.49		15			L
2018/04/28	Sat	12:21 AM	6.73		205			H
2018/04/28	Sat	06:53 AM	0.04		1			L
2018/04/28	Sat	12:53 PM	5.95		181			H
2018/04/28	Sat	06:55 PM	0.73		22			L
2018/04/29	Sun	12:57 AM	6.89		210			H
2018/04/29	Sun	07:35 AM	-0.34		-10			L
2018/04/29	Sun	01:40 PM	5.95		181			H
2018/04/29	Sun	07:35 PM	1.03		31			L
2018/04/30	Mon	01:31 AM	6.94		212			H
2018/04/30	Mon	08:15 AM	-0.56		-17			L
2018/04/30	Mon	02:26 PM	5.88		179			H
2018/04/30	Mon	08:13 PM	1.36		41			L
2018/05/01	Tue	02:04 AM	6.87		209			H
2018/05/01	Tue	08:53 AM	-0.63		-19			L
2018/05/01	Tue	03:09 PM	5.75		175			H
2018/05/01	Tue	08:50 PM	1.71		52			L
2018/05/02	Wed	02:37 AM	6.70		204			H
2018/05/02	Wed	09:32 AM	-0.56		-17			L
2018/05/02	Wed	03:52 PM	5.56		169			H
2018/05/02	Wed	09:28 PM	2.05		62			L
2018/05/03	Thu	03:10 AM	6.45		197			H
2018/05/03	Thu	10:11 AM	-0.38		-12			L
2018/05/03	Thu	04:37 PM	5.34		163			H
2018/05/03	Thu	10:07 PM	2.36		72			L
2018/05/04	Fri	03:45 AM	6.14		187			H
2018/05/04	Fri	10:52 AM	-0.13		-4			L
2018/05/04	Fri	05:25 PM	5.12		156			H
2018/05/04	Fri	10:50 PM	2.62		80			L
2018/05/05	Sat	04:24 AM	5.78		176			H
2018/05/05	Sat	11:36 AM	0.16		5			L
2018/05/05	Sat	06:17 PM	4.93		150			H
2018/05/05	Sat	11:41 PM	2.82		86			L
2018/05/06	Sun	05:10 AM	5.41		165			H
2018/05/06	Sun	12:26 PM	0.44		13			L
2018/05/06	Sun	07:15 PM	4.84		148			H
2018/05/07	Mon	12:45 AM	2.90		88			L
2018/05/07	Mon	06:07 AM	5.06		154			H
2018/05/07	Mon	01:22 PM	0.67		20			L
2018/05/07	Mon	08:13 PM	4.87		148			H
2018/05/08	Tue	02:00 AM	2.80		85			L
2018/05/08	Tue	07:16 AM	4.81		147			H
2018/05/08	Tue	02:21 PM	0.82		25			L
2018/05/08	Tue	09:07 PM	5.04		154			H
2018/05/09	Wed	03:11 AM	2.49		76			L
2018/05/09	Wed	08:30 AM	4.71		144			H
2018/05/09	Wed	03:18 PM	0.90		27			L
2018/05/09	Wed	09:54 PM	5.31		162			H
2018/05/10	Thu	04:11 AM	2.00		61			L
2018/05/10	Thu	09:39 AM	4.79		146			H
2018/05/10	Thu	04:10 PM	0.93		28			L
2018/05/10	Thu	10:34 PM	5.66		173			H
2018/05/11	Fri	05:01 AM	1.40		43			L
2018/05/11	Fri	10:41 AM	4.99		152			H
2018/05/11	Fri	04:56 PM	0.96		29			L
2018/05/11	Fri	11:10 PM	6.04		184			H
2018/05/12	Sat	05:45 AM	0.74		23			L
2018/05/12	Sat	11:36 AM	5.25		160			H
