Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-03-28,Wed,11:50 AM,7.33,223,H
2018-03-28,Wed,6:26 PM,-0.26,-8,L
2018-03-29,Thu,12:58 AM,7,213,H
2018-03-29,Thu,6:46 AM,1.34,41,L
2018-03-29,Thu,12:48 PM,7.5,229,H
2018-03-29,Thu,7:13 PM,-0.26,-8,L
2018-03-30,Fri,1:38 AM,7.39,225,H
2018-03-30,Fri,7:35 AM,0.74,23,L
2018-03-30,Fri,1:40 PM,7.56,230,H
2018-03-30,Fri,7:55 PM,-0.1,-3,L
2018-03-31,Sat,2:15 AM,7.66,233,H
2018-03-31,Sat,8:20 AM,0.28,9,L
2018-03-31,Sat,2:29 PM,7.48,228,H
2018-03-31,Sat,8:35 PM,0.2,6,L
2018-04-01,Sun,2:50 AM,7.79,237,H
2018-04-01,Sun,9:03 AM,-0.02,-1,L
2018-04-01,Sun,3:15 PM,7.26,221,H
2018-04-01,Sun,9:13 PM,0.63,19,L
2018-04-02,Mon,3:25 AM,7.79,237,H
2018-04-02,Mon,9:45 AM,-0.14,-4,L
2018-04-02,Mon,4:01 PM,6.94,212,H
2018-04-02,Mon,9:50 PM,1.14,35,L
2018-04-03,Tue,3:59 AM,7.64,233,H
2018-04-03,Tue,10:26 AM,-0.09,-3,L
2018-04-03,Tue,4:46 PM,6.54,199,H
2018-04-03,Tue,10:27 PM,1.69,52,L
2018-04-04,Wed,4:33 AM,7.38,225,H
2018-04-04,Wed,11:09 AM,0.1,3,L
2018-04-04,Wed,5:34 PM,6.12,187,H
2018-04-04,Wed,11:05 PM,2.22,68,L
2018-04-05,Thu,5:09 AM,7.03,214,H
2018-04-05,Thu,11:54 AM,0.37,11,L
2018-04-05,Thu,6:26 PM,5.71,174,H
2018-04-05,Thu,11:48 PM,2.7,82,L
2018-04-06,Fri,5:49 AM,6.64,202,H
2018-04-06,Fri,12:45 PM,0.68,21,L
2018-04-06,Fri,7:26 PM,5.38,164,H
2018-04-07,Sat,12:39 AM,3.08,94,L
2018-04-07,Sat,6:37 AM,6.25,190,H
2018-04-07,Sat,1:43 PM,0.95,29,L
2018-04-07,Sat,8:35 PM,5.21,159,H
2018-04-08,Sun,1:47 AM,3.31,101,L
2018-04-08,Sun,7:38 AM,5.93,181,H
2018-04-08,Sun,2:48 PM,1.09,33,L
2018-04-08,Sun,9:46 PM,5.25,160,H
2018-04-09,Mon,3:06 AM,3.3,101,L
2018-04-09,Mon,8:49 AM,5.76,176,H
2018-04-09,Mon,3:52 PM,1.09,33,L
2018-04-09,Mon,10:46 PM,5.46,166,H
2018-04-10,Tue,4:18 AM,3.02,92,L
2018-04-10,Tue,9:59 AM,5.8,177,H
2018-04-10,Tue,4:49 PM,0.96,29,L
2018-04-10,Tue,11:33 PM,5.76,176,H
2018-04-11,Wed,5:16 AM,2.57,78,L
2018-04-11,Wed,11:01 AM,5.99,183,H
2018-04-11,Wed,5:37 PM,0.81,25,L
2018-04-12,Thu,12:11 AM,6.12,187,H
2018-04-12,Thu,6:03 AM,2.02,62,L
2018-04-12,Thu,11:55 AM,6.26,191,H
2018-04-12,Thu,6:19 PM,0.68,21,L
2018-04-13,Fri,12:44 AM,6.51,198,H
2018-04-13,Fri,6:44 AM,1.43,44,L
2018-04-13,Fri,12:43 PM,6.52,199,H
2018-04-13,Fri,6:57 PM,0.62,19,L
2018-04-14,Sat,1:16 AM,6.9,210,H
2018-04-14,Sat,7:23 AM,0.83,25,L
2018-04-14,Sat,1:28 PM,6.74,205,H
2018-04-14,Sat,7:32 PM,0.66,20,L
2018-04-15,Sun,1:47 AM,7.26,221,H
2018-04-15,Sun,8:02 AM,0.27,8,L
2018-04-15,Sun,2:12 PM,6.87,209,H
2018-04-15,Sun,8:08 PM,0.8,24,L
2018-04-16,Mon,2:19 AM,7.58,231,H
2018-04-16,Mon,8:41 AM,-0.22,-7,L
2018-04-16,Mon,2:57 PM,6.9,210,H
2018-04-16,Mon,8:44 PM,1.04,32,L
2018-04-17,Tue,2:52 AM,7.81,238,H
2018-04-17,Tue,9:22 AM,-0.58,-18,L
2018-04-17,Tue,3:43 PM,6.81,208,H
2018-04-17,Tue,9:22 PM,1.37,42,L
2018-04-18,Wed,3:27 AM,7.93,242,H
2018-04-18,Wed,10:05 AM,-0.79,-24,L
2018-04-18,Wed,4:33 PM,6.6,201,H
2018-04-18,Wed,10:02 PM,1.76,54,L
2018-04-19,Thu,4:06 AM,7.89,240,H
2018-04-19,Thu,10:53 AM,-0.81,-25,L
2018-04-19,Thu,5:26 PM,6.33,193,H
2018-04-19,Thu,10:47 PM,2.16,66,L
2018-04-20,Fri,4:50 AM,7.7,235,H
2018-04-20,Fri,11:45 AM,-0.68,-21,L
2018-04-20,Fri,6:26 PM,6.04,184,H
2018-04-20,Fri,11:41 PM,2.54,77,L
2018-04-21,Sat,5:42 AM,7.35,224,H
2018-04-21,Sat,12:43 PM,-0.44,-13,L
2018-04-21,Sat,7:34 PM,5.86,179,H
2018-04-22,Sun,12:47 AM,2.82,86,L
2018-04-22,Sun,6:44 AM,6.92,211,H
2018-04-22,Sun,1:49 PM,-0.18,-5,L
2018-04-22,Sun,8:45 PM,5.87,179,H
2018-04-23,Mon,2:07 AM,2.86,87,L
2018-04-23,Mon,7:59 AM,6.54,199,H
2018-04-23,Mon,2:58 PM,0.03,1,L
2018-04-23,Mon,9:54 PM,6.08,185,H
2018-04-24,Tue,3:31 AM,2.56,78,L
2018-04-24,Tue,9:20 AM,6.32,193,H
2018-04-24,Tue,4:05 PM,0.14,4,L
2018-04-24,Tue,10:52 PM,6.44,196,H
2018-04-25,Wed,4:45 AM,1.99,61,L
2018-04-25,Wed,10:36 AM,6.32,193,H
2018-04-25,Wed,5:04 PM,0.23,7,L
2018-04-25,Wed,11:41 PM,6.84,208,H
2018-04-26,Thu,5:46 AM,1.29,39,L
2018-04-26,Thu,11:43 AM,6.43,196,H
2018-04-26,Thu,5:57 PM,0.35,11,L
2018-04-27,Fri,12:24 AM,7.22,220,H
2018-04-27,Fri,6:37 AM,0.62,19,L
2018-04-27,Fri,12:42 PM,6.56,200,H
2018-04-27,Fri,6:43 PM,0.54,16,L
2018-04-28,Sat,1:03 AM,7.51,229,H
2018-04-28,Sat,7:23 AM,0.04,1,L
2018-04-28,Sat,1:35 PM,6.64,202,H
2018-04-28,Sat,7:25 PM,0.81,25,L
2018-04-29,Sun,1:39 AM,7.69,234,H
2018-04-29,Sun,8:05 AM,-0.38,-12,L
2018-04-29,Sun,2:22 PM,6.64,202,H
2018-04-29,Sun,8:05 PM,1.13,34,L
2018-04-30,Mon,2:13 AM,7.74,236,H
2018-04-30,Mon,8:45 AM,-0.62,-19,L
2018-04-30,Mon,3:08 PM,6.56,200,H
2018-04-30,Mon,8:43 PM,1.5,46,L
2018-05-01,Tue,2:46 AM,7.67,234,H
2018-05-01,Tue,9:23 AM,-0.69,-21,L
2018-05-01,Tue,3:51 PM,6.41,195,H
2018-05-01,Tue,9:20 PM,1.88,57,L
2018-05-02,Wed,3:19 AM,7.48,228,H
2018-05-02,Wed,10:02 AM,-0.61,-19,L
2018-05-02,Wed,4:34 PM,6.2,189,H
2018-05-02,Wed,9:58 PM,2.25,69,L
2018-05-03,Thu,3:52 AM,7.2,219,H
2018-05-03,Thu,10:41 AM,-0.42,-13,L
2018-05-03,Thu,5:19 PM,5.96,182,H
2018-05-03,Thu,10:37 PM,2.59,79,L
2018-05-04,Fri,4:27 AM,6.85,209,H
2018-05-04,Fri,11:22 AM,-0.14,-4,L
2018-05-04,Fri,6:07 PM,5.71,174,H
2018-05-04,Fri,11:20 PM,2.88,88,L
2018-05-05,Sat,5:06 AM,6.45,197,H
2018-05-05,Sat,12:06 PM,0.18,5,L
2018-05-05,Sat,6:59 PM,5.51,168,H
2018-05-06,Sun,12:11 AM,3.1,94,L
2018-05-06,Sun,5:52 AM,6.04,184,H
2018-05-06,Sun,12:56 PM,0.49,15,L
2018-05-06,Sun,7:57 PM,5.4,165,H
2018-05-07,Mon,1:15 AM,3.19,97,L
2018-05-07,Mon,6:49 AM,5.65,172,H
2018-05-07,Mon,1:52 PM,0.74,23,L
2018-05-07,Mon,8:55 PM,5.44,166,H
2018-05-08,Tue,2:30 AM,3.08,94,L
2018-05-08,Tue,7:58 AM,5.36,163,H
2018-05-08,Tue,2:51 PM,0.9,27,L
2018-05-08,Tue,9:49 PM,5.63,172,H
2018-05-09,Wed,3:41 AM,2.74,84,L
2018-05-09,Wed,9:12 AM,5.26,160,H
2018-05-09,Wed,3:48 PM,0.99,30,L
2018-05-09,Wed,10:36 PM,5.93,181,H
2018-05-10,Thu,4:41 AM,2.2,67,L
2018-05-10,Thu,10:21 AM,5.34,163,H
2018-05-10,Thu,4:40 PM,1.02,31,L
2018-05-10,Thu,11:16 PM,6.31,192,H
2018-05-11,Fri,5:31 AM,1.54,47,L
2018-05-11,Fri,11:23 AM,5.57,170,H
2018-05-11,Fri,5:26 PM,1.06,32,L
2018-05-11,Fri,11:52 PM,6.74,205,H
2018-05-12,Sat,6:15 AM,0.81,25,L
2018-05-12,Sat,12:18 PM,5.86,179,H
2018-05-12,Sat,6:10 PM,1.13,34,L
2018-05-13,Sun,12:28 AM,7.19,219,H
2018-05-13,Sun,6:57 AM,0.08,2,L
2018-05-13,Sun,1:10 PM,6.14,187,H
2018-05-13,Sun,6:51 PM,1.24,38,L
2018-05-14,Mon,1:03 AM,7.61,232,H
2018-05-14,Mon,7:39 AM,-0.59,-18,L
2018-05-14,Mon,1:59 PM,6.38,194,H
2018-05-14,Mon,7:32 PM,1.4,43,L
