Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/03/11	Sun	04:48 PM	1.08		33			L
2018/03/11	Sun	11:38 PM	5.40		165			H
2018/03/12	Mon	04:47 AM	3.24		99			L
2018/03/12	Mon	10:40 AM	6.46		197			H
2018/03/12	Mon	05:41 PM	0.82		25			L
2018/03/13	Tue	12:24 AM	5.71		174			H
2018/03/13	Tue	05:43 AM	2.92		89			L
2018/03/13	Tue	11:35 AM	6.68		204			H
2018/03/13	Tue	06:25 PM	0.56		17			L
2018/03/14	Wed	01:00 AM	6.03		184			H
2018/03/14	Wed	06:29 AM	2.52		77			L
2018/03/14	Wed	12:23 PM	6.93		211			H
2018/03/14	Wed	07:03 PM	0.33		10			L
2018/03/15	Thu	01:32 AM	6.36		194			H
2018/03/15	Thu	07:09 AM	2.09		64			L
2018/03/15	Thu	01:06 PM	7.15		218			H
2018/03/15	Thu	07:38 PM	0.18		5			L
2018/03/16	Fri	02:03 AM	6.66		203			H
2018/03/16	Fri	07:47 AM	1.66		51			L
2018/03/16	Fri	01:46 PM	7.29		222			H
2018/03/16	Fri	08:11 PM	0.15		5			L
2018/03/17	Sat	02:32 AM	6.95		212			H
2018/03/17	Sat	08:24 AM	1.25		38			L
2018/03/17	Sat	02:26 PM	7.33		223			H
2018/03/17	Sat	08:43 PM	0.24		7			L
2018/03/18	Sun	03:02 AM	7.20		219			H
2018/03/18	Sun	09:02 AM	0.88		27			L
2018/03/18	Sun	03:07 PM	7.26		221			H
2018/03/18	Sun	09:16 PM	0.46		14			L
2018/03/19	Mon	03:32 AM	7.41		226			H
2018/03/19	Mon	09:41 AM	0.57		17			L
2018/03/19	Mon	03:49 PM	7.06		215			H
2018/03/19	Mon	09:49 PM	0.80		24			L
2018/03/20	Tue	04:04 AM	7.55		230			H
2018/03/20	Tue	10:23 AM	0.35		11			L
2018/03/20	Tue	04:35 PM	6.74		205			H
2018/03/20	Tue	10:24 PM	1.24		38			L
2018/03/21	Wed	04:38 AM	7.61		232			H
2018/03/21	Wed	11:09 AM	0.24		7			L
2018/03/21	Wed	05:26 PM	6.34		193			H
2018/03/21	Wed	11:03 PM	1.75		53			L
2018/03/22	Thu	05:18 AM	7.56		230			H
2018/03/22	Thu	12:01 PM	0.24		7			L
2018/03/22	Thu	06:25 PM	5.92		180			H
2018/03/22	Thu	11:49 PM	2.27		69			L
2018/03/23	Fri	06:04 AM	7.42		226			H
2018/03/23	Fri	01:01 PM	0.29		9			L
2018/03/23	Fri	07:36 PM	5.58		170			H
2018/03/24	Sat	12:47 AM	2.73		83			L
2018/03/24	Sat	07:02 AM	7.21		220			H
2018/03/24	Sat	02:10 PM	0.33		10			L
2018/03/24	Sat	08:57 PM	5.48		167			H
2018/03/25	Sun	02:03 AM	3.02		92			L
2018/03/25	Sun	08:13 AM	7.02		214			H
2018/03/25	Sun	03:24 PM	0.26		8			L
2018/03/25	Sun	10:16 PM	5.68		173			H
2018/03/26	Mon	03:29 AM	2.98		91			L
2018/03/26	Mon	09:31 AM	6.98		213			H
2018/03/26	Mon	04:34 PM	0.07		2			L
2018/03/26	Mon	11:21 PM	6.08		185			H
2018/03/27	Tue	04:47 AM	2.59		79			L
2018/03/27	Tue	10:45 AM	7.12		217			H
2018/03/27	Tue	05:34 PM	-0.13		-4			L
2018/03/28	Wed	12:13 AM	6.55		200			H
2018/03/28	Wed	05:52 AM	1.99		61			L
2018/03/28	Wed	11:50 AM	7.33		223			H
2018/03/28	Wed	06:26 PM	-0.26		-8			L
2018/03/29	Thu	12:58 AM	7.00		213			H
2018/03/29	Thu	06:46 AM	1.34		41			L
2018/03/29	Thu	12:48 PM	7.50		229			H
2018/03/29	Thu	07:13 PM	-0.26		-8			L
2018/03/30	Fri	01:38 AM	7.39		225			H
2018/03/30	Fri	07:35 AM	0.74		23			L
2018/03/30	Fri	01:40 PM	7.56		230			H
2018/03/30	Fri	07:55 PM	-0.10		-3			L
